WarehouseID,WarehouseManager
149,Benny Gantz
150,Avigdor Lieberman
151,Gideon Sa'ar
152,Zeev Elkin
153,Nitzan Horowitz
154,Merav Michaeli
155,Mansour Abbas
156,Ayman Odeh
157,Ahmed Tibi
158,Itamar Ben-Gvir
159,Bezalel Smotrich
160,Aryeh Deri
161,Yaakov Litzman
162,Moshe Gafni
163,Yuli Edelstein
164,Yoav Gallant
165,Nir Barkat
166,Eli Cohen
167,Ron Dermer
168,Amir Ohana
169,Isaac Herzog
170,Michal Herzog
171,Miriam Peretz
172,Dalia Itzik
173,Reuven Rivlin
174,Shulamit Aloni
175,Geula Cohen
176,Tzipi Livni
177,Shelly Yachimovich
178,Zehava Galon
179,Stav Shaffir
180,Pnina Tamano-Shata
181,Meirav Cohen
182,Karin Elharrar
183,Orit Strock
184,Idit Silman
185,May Golan
186,Gila Gamliel
187,Limor Livnat
188,Dalia Rabin
189,Colette Avital
190,Tamar Zandberg
191,Efrat Rayten
192,Sharren Haskel
193,Michal Rozin
194,Gaby Lasky
195,Yael German
196,Orna Barbivai
197,Meirav Ben-Ari
198,Inbar Bezek
199,Yulia Malinovsky
200,Limor Son Har-Melech
201,Avi Nimni
202,Eli Ohana
203,Eyal Berkovic
204,Haim Revivo
205,Yossi Benayoun
206,Eran Zahavi
207,Munas Dabbur
208,Manor Solomon
209,Daniel Peretz
210,Oscar Gloukh
211,Linoy Ashram
212,Artem Dolgopyat
213,Sagi Muki
214,Raz Hershko
215,Inbar Lanir
216,Avishag Semberg
217,Yael Arad
218,Oren Smadja
219,Arik Zeevi
220,Gal Fridman
221,Shahar Tzuberi
222,Neta Rivkin
223,Alexander Shatilov
224,Hanna Knyazyeva-Minenko
225,Lonah Chemtai Salpeter
226,Guy Starik
227,Sergey Richter
228,Anastasia Gorbenko
229,Miki Halika
230,Eithan Urbach
231,Gal Gadot
232,Natalie Portman
233,Lior Raz
234,Shira Haas
235,Tomer Capone
236,Ayelet Zurer
237,Noa Kirel
238,Netta Barzilai
239,Omer Adam
240,Eyal Golan
241,Sarit Hadad
242,Idan Raichel
243,Ivri Lider
244,Shlomo Artzi
245,Rita Yahan-Farouz
246,Aviv Geffen
247,Ninet Tayeb
248,Harel Skaat
249,Shiri Maimon
250,Ran Danker
251,Dana International
252,Izhar Cohen
253,Gali Atari
254,Milk and Honey
255,Kobi Marimi
256,Imri Ziv
257,Hovi Star
258,Nadav Guedj
259,Mei Finegold
260,Moran Mazor
261,Liana Biran
262,Eden Harel
263,Assi Azar
264,Rotem Sela
265,Guy Zu-Aretz
266,Yael Bar Zohar
267,Lucy Ayoub
268,Erez Tal
269,Avri Gilad
270,Guri Alfi
271,Adir Miller
272,Shalom Asayag
273,Lior Ashkenazi
274,Monny Moshonov
275,Shlomo Bar-Aba
276,Keren Mor
277,Dov Navon
278,Ido Mosseri
279,Tal Friedman
280,Eyal Kitzis
281,Mariano Idelman
282,Eli Finish
283,Alma Zak
284,Shani Cohen
285,Yuval Semo
286,Eran Zarahovitsh
287,Maor Cohen
288,Yaniv Biton
289,Ori Laizerouvich
290,Gia Be'er Gurevich
291,Amir Shorer
292,Oded Paz
293,Ilan Rozenfeld
294,Kobi Farag
295,Dana Frider
296,Tal Mosseri
297,Roni Duani
298,Agam Rodberg
299,Adi Himelbloy
300,Don Leni-Gabbay
301,Yon Tumarkin
302,Amit Farkash
303,Lee Biran
304,Daniel Moreshet
305,Shiran Sendel
306,Tuval Shafir
307,Eliana Tidhar
308,Joy Rieger
309,Nelly Tagar
310,Dana Ivgy
311,Ronit Elkabetz
312,Shlomi Elkabetz
313,Amos Gitai
314,Ari Folman
315,Eran Riklis
316,Joseph Cedar
317,Nadav Lapid
318,Guy Nattiv
319,Samuel Maoz
320,Tali Shalom Ezer
321,Rama Burshtein
322,Hany Abu-Assad
323,Eytan Fox
324,Dover Koshashvili
325,Nir Bergman
326,Keren Yedaya
327,Scandar Copti
328,Yaron Shani
329,Eran Kolirin
330,Tawfik Abu Wael
331,Assaf Amir
332,Sigal Avin
333,Hagai Levi
334,Gidi Raff
335,Maria Feldman
336,Leora Kamenetzky
337,Amit Cohen
338,Ron Leshem
339,Daphna Levin
340,Yosef Greenfeld
341,Levana Finkelstein
342,Gila Almagor
343,Hana Laszlo
344,Tiki Dayan
345,Rivka Michaeli
346,Tuvia Tzafir
347,Sefi Rivlin
348,Dudu Topaz
349,Yair Nitzani
350,Izhar Ashdot
351,Dani Bassan
352,Alon Oleartchik
353,Gidi Gov
354,Efraim Shamir
355,Yitzhak Klepter
356,Meir Ariel
357,Shalom Hanoch
358,Matti Caspi
359,Ariel Zilber
360,Danny Sanderson
361,Zvika Pick
362,Uzi Hitman
363,Ehimelech Erez
364,Yoram Gaon
365,Hava Alberstein
366,Chava Alberstein
367,Yardena Arazi
368,Ofra Haza
369,Gidi Gov
370,Mazni Levi
371,Eyal Mazor
372,Ronnie Shaked
373,Tamir Muskat
374,Ori Kaplan
375,Tomer Yosef
376,Itamar Doari
377,Avishai Cohen
378,Omer Avital
379,Eli Degibri
380,Daniel Zamir
381,Anat Cohen
382,Gilad Hekselman
383,Yotam Silberstein
384,Shai Maestro
385,Nitai Hershkovits
386,Amir ElSaffar
387,Dudu Tassa
388,Yasmine Hamdan
389,Mark Eliyahu
390,Pirut Shalom
391,Kobi Oz
392,Teapacks
393,Hadag Nahash
394,Shaanan Streett
395,Karolina
396,Marina Maximilian
397,Balkan Beat Box
398,Infected Mushroom
399,Astrix
400,Vini Vici
401,Guy Gerber
402,Borgore
403,Dennis Lloyd
404,Asaf Avidan
405,Noga Erez
406,Lola Marsh
407,Garden City Movement
408,Full Trunk
409,Jane Bordeaux
410,A-WA
411,Yemen Blues
412,Ravid Kahalani
413,Idan Amedi
414,Hanan Ben Ari
415,Ishay Ribo
416,Nathan Goshen
417,Amir Dadon
418,Yuval Dayan
419,Dikla
420,Nasrin Kadri
421,Eden Ben Zaken
422,Noa Kirel
423,Anna Zak
424,Agam Buhbut
425,Stephane Legar
426,Static
427,Ben El Tavori
428,Eliad Nachum
429,Mosh Ben Ari
430,Abraham Tal
431,Berry Sakharof
432,Rami Fortis
433,Ehud Banai
434,Meir Banai
435,Eviatar Banai
436,Orna Banai
437,Gav Banai
438,Yossi Banai
439,Yuval Banai
440,Shlomi Shaban
441,Yoni Rechter
442,Shem Tov Levi
443,Shlomo Gronich
444,Alon Abutbul
445,Mark Ivanir
446,Igal Naor
447,Sasson Gabai
448,Moni Moshonov
449,Lior Ashkenazi
450,Ania Bukstein
451,Alona Tal
452,Odeya Rush
453,Inbar Lavi
454,Meital Dohan
455,Daniella Kertesz
456,Dar Zuzovsky
457,Hila Vidor
458,Tali Sharon
459,Reymonde Amsellem
460,Moran Atias
461,Sendi Bar
462,Noa Tishby
463,Sigal Shachmon
464,Michal Yannai
465,Yael Abecassis
466,Ronit Elkabetz
467,Dana Ivgy
468,Hana Laszlo
469,Gila Almagor
470,Lia Konig
471,Dvora Kedar
472,Miriam Zohar
473,Orna Porat
474,Lea Koenig
475,Yevgenia Dodina
476,Sivan Levy
477,Yuval Scharf
478,Netta Riskin
479,Ayelet Zurer
480,Shira Haas
481,Amit Rahav
482,Michael Aloni
483,Neta Garty
484,Tomer Capone
485,Daniel Gad
486,Israel Atias
487,Tsahi Halevi
488,Itzik Cohen
489,Doron Ben-David
490,Rona-Lee Shimon
491,Laetitia Eido
492,Hisham Suliman
493,Shadi Mar'i
494,George Iskandar
495,Ala Dakka
496,Muna Hawa
497,Loai Nofi
498,Salim Dau
499,Tarab Aboud
500,Amir Khoury
500,Offir Kimhi
400,Shmulik Saban
300,Sarah Zini
200,Sara Heymann
